index,risks
114,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
115,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
116,['Collision risk']
117,['Social and environmental risks']
123,['related risk']
125,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
126,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
127,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
129,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
130,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
131,"['Operational risks', 'Reputation risks', 'Financial risks']"
132,['Fire risk']
133,"['Completeness risk', 'Conjunction risk', 'Information risk']"
134,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
135,"['Safety risks', 'Environmental risks', 'Health risks']"
137,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
139,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
140,"['Environmental risk', 'related risk', 'Operational risk']"
141,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
143,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
144,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
145,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
148,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
149,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
150,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
151,['Collision risk']
152,['Social and environmental risks']
158,['related risk']
160,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
161,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
162,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
164,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
165,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
166,"['Operational risks', 'Reputation risks', 'Financial risks']"
167,['Fire risk']
168,"['Completeness risk', 'Conjunction risk', 'Information risk']"
169,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
170,"['Safety risks', 'Environmental risks', 'Health risks']"
172,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
174,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
175,"['Compliance risk', 'Strategic risk', 'Operational risk']"
177,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
178,['related risks']
181,"['Environmental risk', 'related risk', 'Operational risk']"
182,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
184,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
185,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
186,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
189,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
190,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
191,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
192,['Collision risk']
193,['Social and environmental risks']
199,['related risk']
201,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
202,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
203,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
205,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
206,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
207,"['Operational risks', 'Reputation risks', 'Financial risks']"
208,['Fire risk']
209,"['Completeness risk', 'Conjunction risk', 'Information risk']"
210,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
211,"['Safety risks', 'Environmental risks', 'Health risks']"
213,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
215,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
216,"['Compliance risk', 'Strategic risk', 'Operational risk']"
218,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
219,['related risks']
223,['Increasing distance between wells reduces risks']
224,"['Time overrun risk', 'Time overrun penalty risk']"
225,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
227,"['Environmental risk', 'related risk', 'Operational risk']"
228,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
230,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
231,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
232,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
235,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
236,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
237,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
238,['Collision risk']
239,['Social and environmental risks']
245,['related risk']
247,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
248,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
249,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
251,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
252,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
253,"['Operational risks', 'Reputation risks', 'Financial risks']"
254,['Fire risk']
255,"['Completeness risk', 'Conjunction risk', 'Information risk']"
256,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
257,"['Safety risks', 'Environmental risks', 'Health risks']"
259,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
261,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
262,"['Compliance risk', 'Strategic risk', 'Operational risk']"
264,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
265,['related risks']
269,['Increasing distance between wells reduces risks']
270,"['Time overrun risk', 'Time overrun penalty risk']"
271,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
274,"['Technical risk', 'Sewer pipe failure risk', 'Financial risk', 'Prequalification risk', 'Navigation risk', 'Political risk', 'Operational risk', 'Economic risk', 'Reputation risk', 'Strategic risk', 'Training risk', 'Compliance risk']"
275,['flood risk']
276,['Collision risk']
278,"['Environmental risk', 'related risk', 'Operational risk']"
279,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
281,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
282,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
283,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
286,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
287,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
288,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
289,['Collision risk']
290,['Social and environmental risks']
296,['related risk']
298,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
299,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
300,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
302,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
303,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
304,"['Operational risks', 'Reputation risks', 'Financial risks']"
305,['Fire risk']
306,"['Completeness risk', 'Conjunction risk', 'Information risk']"
307,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
308,"['Safety risks', 'Environmental risks', 'Health risks']"
310,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
312,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
313,"['Compliance risk', 'Strategic risk', 'Operational risk']"
315,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
316,['related risks']
320,['Increasing distance between wells reduces risks']
321,"['Time overrun risk', 'Time overrun penalty risk']"
322,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
325,"['Technical risk', 'Sewer pipe failure risk', 'Financial risk', 'Prequalification risk', 'Navigation risk', 'Political risk', 'Operational risk', 'Economic risk', 'Reputation risk', 'Strategic risk', 'Training risk', 'Compliance risk']"
326,['flood risk']
327,['Collision risk']
329,"['Financial risk', 'Unpredictable risk', 'Technical risk', 'Operational risk']"
331,"['Legal risks', 'Political risks', 'Natural risks', 'Technical risks', 'Managerial risks', 'Economic risks', 'Financial risks']"
332,"['Strategic risks', 'Operational risks', 'Financial risks']"
333,"['Partnership risk', 'Assignment of risks', 'Allocation and impact of risks', 'Contractual risk', 'Regulatory risk']"
334,"['Environmental risk', 'related risk', 'Operational risk']"
335,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
337,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
338,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
339,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
342,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
343,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
344,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
345,['Collision risk']
346,['Social and environmental risks']
352,['related risk']
354,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
355,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
356,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
358,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
359,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
360,"['Operational risks', 'Reputation risks', 'Financial risks']"
361,['Fire risk']
362,"['Completeness risk', 'Conjunction risk', 'Information risk']"
363,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
364,"['Safety risks', 'Environmental risks', 'Health risks']"
366,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
368,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
369,"['Compliance risk', 'Strategic risk', 'Operational risk']"
371,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
372,['related risks']
376,['Increasing distance between wells reduces risks']
377,"['Time overrun risk', 'Time overrun penalty risk']"
378,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
381,"['Technical risk', 'Sewer pipe failure risk', 'Financial risk', 'Prequalification risk', 'Navigation risk', 'Political risk', 'Operational risk', 'Economic risk', 'Reputation risk', 'Strategic risk', 'Training risk', 'Compliance risk']"
382,['flood risk']
383,['Collision risk']
385,"['Financial risk', 'Unpredictable risk', 'Technical risk', 'Operational risk']"
387,"['Legal risks', 'Political risks', 'Natural risks', 'Technical risks', 'Managerial risks', 'Economic risks', 'Financial risks']"
388,"['Strategic risks', 'Operational risks', 'Financial risks']"
389,"['Partnership risk', 'Assignment of risks', 'Allocation and impact of risks', 'Contractual risk', 'Regulatory risk']"
390,['cancer and non-cancer risks']
391,"['Operational risk', 'Strategic risk', 'Regulatory risk']"
395,"['Environmental risk', 'related risk', 'Operational risk']"
396,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
398,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
399,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
400,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
403,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
404,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
405,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
406,['Collision risk']
407,['Social and environmental risks']
413,['related risk']
415,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
416,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
417,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
419,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
420,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
421,"['Operational risks', 'Reputation risks', 'Financial risks']"
422,['Fire risk']
423,"['Completeness risk', 'Conjunction risk', 'Information risk']"
424,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
425,"['Safety risks', 'Environmental risks', 'Health risks']"
427,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
429,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
430,"['Compliance risk', 'Strategic risk', 'Operational risk']"
432,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
433,['related risks']
437,['Increasing distance between wells reduces risks']
438,"['Time overrun risk', 'Time overrun penalty risk']"
439,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
442,"['Technical risk', 'Sewer pipe failure risk', 'Financial risk', 'Prequalification risk', 'Navigation risk', 'Political risk', 'Operational risk', 'Economic risk', 'Reputation risk', 'Strategic risk', 'Training risk', 'Compliance risk']"
443,['flood risk']
444,['Collision risk']
446,"['Financial risk', 'Unpredictable risk', 'Technical risk', 'Operational risk']"
448,"['Legal risks', 'Political risks', 'Natural risks', 'Technical risks', 'Managerial risks', 'Economic risks', 'Financial risks']"
449,"['Strategic risks', 'Operational risks', 'Financial risks']"
450,"['Partnership risk', 'Assignment of risks', 'Allocation and impact of risks', 'Contractual risk', 'Regulatory risk']"
451,['cancer and non-cancer risks']
452,"['Operational risk', 'Strategic risk', 'Regulatory risk']"
456,"['Technical risk', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk']"
457,"['Relationship risk', 'Weather risk']"
459,"['Environmental risks', 'Safety risks', 'Health risks']"
461,"['Environmental risk', 'related risk', 'Operational risk']"
462,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
464,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
465,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
466,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
469,"['Health and safety risks', 'Economic risks', 'Environmental risks', 'Social risks']"
470,"['Technological disaster risks', 'Mitigation risks', 'Prevention risks', 'related risks', 'related risks (Natech risks', 'Emergency response planning risks']"
471,"['Developing a risk', 'Safety risks', 'Human factor risks', 'Financial risks']"
472,['Collision risk']
473,['Social and environmental risks']
479,['related risk']
481,"['Natural gas leakage risk', 'Dynamic random system risk', 'Carbon dioxide capture and storage risk', 'Pipeline risk', 'related system risk']"
482,"['Social risks', 'Environmental risks', 'Technical risks', 'Safety risks', 'Economic risks']"
483,"['Omissions risk', 'Fire risk', 'Explosion risk', 'Error risk', 'Machinery breakdown risk', 'Flood risk']"
485,"['Financial risk', 'Uncertainty risk', 'Operational risk', 'Reputation risk', 'Interdependence risk', 'Complexity risk', 'Strategic risk', 'Compliance risk', 'Social risk', 'Environmental risk']"
486,"['RC risk', 'Flood risk management risk', 'Uncertainty risk', 'uniqueness of user equilibrium solutions risk', 'RC integration risk', 'Flood risk']"
487,"['Operational risks', 'Reputation risks', 'Financial risks']"
488,['Fire risk']
489,"['Completeness risk', 'Conjunction risk', 'Information risk']"
490,"['Environmental risks', 'Industrial risks', 'Construction risks', 'Health risks']"
491,"['Safety risks', 'Environmental risks', 'Health risks']"
493,"['Economic risk', 'Safety risk', 'Structural risk', 'Blast risk']"
495,"['Water level risk', 'Economic risk', 'Awareness risk', 'Trust risk', 'Flood risk']"
496,"['Compliance risk', 'Strategic risk', 'Operational risk']"
498,"['Technical risk', 'Operational risk', 'Reputation risk', 'Regulatory risk', 'Environmental risk']"
499,['related risks']
503,['Increasing distance between wells reduces risks']
504,"['Time overrun risk', 'Time overrun penalty risk']"
505,"['Legal risks', 'Behavioral risks', 'Political risks', 'Natural risks', 'Economic risks']"
508,"['Technical risk', 'Sewer pipe failure risk', 'Financial risk', 'Prequalification risk', 'Navigation risk', 'Political risk', 'Operational risk', 'Economic risk', 'Reputation risk', 'Strategic risk', 'Training risk', 'Compliance risk']"
509,['flood risk']
510,['Collision risk']
512,"['Financial risk', 'Unpredictable risk', 'Technical risk', 'Operational risk']"
514,"['Legal risks', 'Political risks', 'Natural risks', 'Technical risks', 'Managerial risks', 'Economic risks', 'Financial risks']"
515,"['Strategic risks', 'Operational risks', 'Financial risks']"
516,"['Partnership risk', 'Assignment of risks', 'Allocation and impact of risks', 'Contractual risk', 'Regulatory risk']"
517,['cancer and non-cancer risks']
518,"['Operational risk', 'Strategic risk', 'Regulatory risk']"
522,"['Technical risk', 'Financial risk', 'Operational risk', 'Reputation risk', 'Strategic risk']"
523,"['Relationship risk', 'Weather risk']"
525,"['Environmental risks', 'Safety risks', 'Health risks']"
527,"['Environmental risks', 'Economic risks', 'Safety risks']"
529,"['Reputation risk', 'Financial risk', 'Regulatory risk', 'Operational risk']"
531,"['Chemical risk', 'Microbial risk', 'Seismic risk']"
532,"['Environmental risk', 'related risk', 'Operational risk']"
533,"['Reputation risk', 'Financial risk', 'Compliance risk', 'Operational risk']"
535,"['Financial cost risk', 'Penalty risk', 'site construction risk']"
536,"['fit rework risk', 'Escalation risk', 'Collapse risk', 'Accuracy risk']"
537,"['Safety performance risk', ""Contractors' unsafe operation risk"", 'Financial risk', 'Operational risk', 'Reputation risk', 'Ignoring safety under schedule pressure risk', 'Strategic risk', 'Time deadline risk', 'Lack of emergency response plan risk', 'Competition function risk', 'Compliance risk']"
