project,risk,stakeholder,idx
investigating historical urban railway construction accidents in China,unsafe behaviors|construction accidents,people involved in the construction process,24
Exploitation of Sentinel-1 for Surface Soil Moisture Retrieval at High Resolution (Exploit-S-1,none detected,European Space Agency (ESA|Sentinel-1 team,26
Restoration projects can be used to restore mined areas back to their natural state. These projects involve replanting native vegetation|removing invasive species|and creating habitats for endangered organisms. (100,Mining activities can cause environmental risks such as soil erosion|water pollution|and loss of biodiversity. (95-100,None,27
Dynamic pricing|electricity usage patterns|time-of-use (TOU) pricing|CPP experiment|smart community demonstration project,Critical peak pricing (CPP) event|peak demand|grid reliability,Electricity customers (commercial|office|and residential|temperature variations,29
investigation into the effects of air disaster on tourists' behavior|including conducting a survey with potential Chinese tourists on their attitudes towards visiting Malaysia and flying Malaysia Airlines,negative impact of air disaster on tourists' attitudes and intentions|including perceived risk of visiting Malaysia and flying Malaysia Airlines,potential Chinese tourists who were survey,31
analyzing the relationship|contributing to the growing body of work,health risks|persistent impacts|racial discrimination,planners|historical governance and planning decisions,32
a new learning system,crisis management|mitigating consequences|negative impacts,people who have to act in emergencies|crisis cell,34
Construction projects|their performance|and the factors that affect it,Delays|claims|and poor management of claims,Interlocutors|customers|team members|and management,35
thermal treatment of WPCB-ECs,air-borne pollutants|including particulate matter (PM) and volatile organic compounds (VOCs,recyclers,36
None,None,None,37
Lightweight masonry blocks (LMBs,Environmental impact|structural integrity|and seismic performance of modern buildings,Building owners|architects|engineers|construction companies|and regulatory authorities,38
Temengor Hydroelectric Project (348 MW) and other hydro projects built on the upper Sungai Perak|including Bersia (72 MW|K,Construction delays due to financial crisis|reduced reserve margin of generation capacity|and need for short-term measures such as cloud seeding to ensure system reliability,None,39
None,None,None,40
seismic microzonation maps|land use management|urban city infrastructure planning,earthquake|high seismic risk areas|geological hazards,Malaysian Meteorological Department|Penang Island residents|urban planners,41
Sand liquefaction discriminant model|establishment of nonlinear relationship between sand liquefaction and various influencing factors,Algorithm|classical neural network algorithms|main factors affecting sand liquefaction,Engineers (in reference to the field of engineering practice,42
Commercial oil palm plantations,Abandoned lands being promoted for palm oil plantations|leading to loss of traditional practices and cultural identity,Indigenous peoples|private palm oil companies|agriculture department|women|men|and local communities,43
Determining the effects of CO2 injection on fracture permeability through laboratory-scale experiments,Leakage of CO2 into surrounding layers or the surface due to deficient sealing in the well cement plugs and annulus,The authors of the study|specifically the researchers involved in conducting the experiments and analyzing the data,44
project management|large-scale projects|multi-team systems,time|cost|quality operational objectives,human subjects|project managers|operations research methods,45
Ethanol production from molasses in Kanchanaburi and Suphanburi Provinces of Thailand,Soil and groundwater pollution,Farmers|factory owners|environmental regulatory agencies|and local communities,46
None,safety concerns for construction workers working in a safe environment (38% improvement,None,47
studying the health-related impact of the 2011 heat wave in Houston|including estimating associations between the heat wave and all-cause mortality and emergency department (ED) visits using distributed lag models,heat waves|increased risk of mortality and morbidity,elderly individuals over 65 years old,48
Dynamic water quality model MINLAKE2012 was used for T and DO simulation over 48 years,Lethal temperature of 22.1 degrees C and DO survival limit of 3 mg/L determined through model validation and sensitivity analysis,Cisco (Corgenous artedi,49
International Entrepreneurship in Poland research project,None,Polish exporters from different sectors with the largest input in Polish overall exports,50
Developing a monitoring methodology to collect hot-water use data from a larger number of hotels and updating hot-water use information to provide more accurate sizing recommendations,Limited information on hotel hot-water use patterns|resulting in outdated designs,Hotel owners|managers|and occupants who rely on efficient hot-water use in their daily lives,51
Assessment model|calculation procedures|estimation of commercial storage capacity|injection profile|etc,Carbon capture and storage project|injection profile|injection scenario|etc,Case study in Taiwan|determination of commercial storage capacity|sensitivity analysis|etc,53
carbon mitigation projects (e.g|biofuel use|a sequestering plant|an afforestation project,None,None,54
None,None,None,55
integrated natural gas market in the Nordic countries (Norway|Denmark|Sweden|and Finland,improving connections between the four countries and the gas links between Western and Eastern Europe (economic|geographical|and psychological perspectives,consumers|investors|and regulatory bodies (coordinated investment in infrastructure,56
studying the impact of near field explosions on the structural framing system and key elements such as columns|introducing provisions in planning guidelines for mitigation of such impact,bomb attacks|vulnerability to events|potential catastrophic and progressive collapse,planning and building control authorities|architects|engineers|owners|occupants,58
The U.S,PCBs|PBDEs|and DDT were detected in high concentrations in fish|exceeding the human health cancer screening value in 48% of the national sampled population of river kilometers and in 70% of the urban sampled population. This suggests a potential risk to human health from consuming fish contaminated with these chemicals,None,59
System operations|safety|maintenance|Bayesian networks (BNs,Importance measures (IMs|risk-informed decision making|fault tree (FT) analysis,The author(s) of the paper|possibly other experts in the field who will read and evaluate the implementation results on a case study,60
Developmental regionalism,Low natural rent and industrial base,Independent developmental elite|competent economic bureaucracy|effective public-private partnership|public confidence|civil society,61
identifying the factors and subfactors of temporary labor migration,none detected,subject experts and field study participants (migrant workers|labor contractors|etc,62
landfill mining,none detected,None,64
developing a battery voltage-level monitoring system,voltage fluctuations|poor management|lack of monitoring system,telecommunication tower engineers|users (e.g|customers|and possibly regulatory bodies (depending on local regulations,65
Carbon dioxide capture and storage demonstration project,,,66
Developing a framework for investigating different factors that impact driveability in autonomous vehicles,Erroneous or unexpected behaviors that could lead to catastrophic outcomes due to poor adaptation to driving conditions,The authors of the paper|who aim to encourage both targeted dataset collection and the proposal of novel driveability metrics to enhance the robustness of autonomous cars in adverse,70
Export pipeline installation|shore approach solution|HDD crossing,Offshore pipeline installation stability|potential for local scour|failure to complete the borehole|environmental impact|pipeline integrity,Pipeline designer|constructor|installer|regulatory authorities|environmental agencies,71
Construction projects|building infrastructure|safety management systems,Accidents|unsafe work practices|construction site hazards,Frontline leaders|construction site workers|Health and Safety Advisors,72
LASTEICON,severe local distortion|premature flange fractures|unavoidable complexity,Laser Cutting Technology,75
reduction of weight and cost related to big frame steel structures during the early design phase,none detected,,78
None,none detected,None,79
Conducting climate scenarios using a weather generator|evaluating the impact of different climate change scenarios on the lake's physical properties using an ensemble of 1-D hydrodynamic lake models|and including heat waves in climate studies to better understand their potential,Climate changes (e.g|increased frequency of heat waves|which could have a significant impact on the lake's physical properties and ecosystem,None,80
Developing strategies to improve occupational safety and health,Accident causing injuries or fatalities|loss of reputation|financial losses due to legal liabilities or decreased productivity,None,81
MOTTLES Monitoring ozone injury for setting new critical levels (LIFE project,exposure to ozone (O-3,forest edges vs. interior forests,82
In this study|A set of Landsat satellite images (2010|2011|and 2017) are classified|Lands Change Modeller (LCM) module in the TerrSet model is used to simulate land-use maps for 2030 and 2050,None,None,83
Construction of the Jenelata Dam,Decrease in water availability due to land-use changes (-323|74 million m(3,Regional spatial plans at the end of the planning year,84
None,collision|fatality,None,86
integrated controlling tool|sample project|conventional project risk management analysis,project risk management|risk-related certifications|standards by international project management associations and institutions,professional,87
Population dynamics|prey-predator modeling|mathematical analysis|qualitative and numerical simulations,Predation|predators|prey consumption|gestation delay,Authors|researchers|scientists|students|general audience interested in ecology and evolutionary biology,88
Energy efficiency|daylighting|visual comfort,None,None,89
bioethanol production,bacterial contamination risk,sugar industry in West Java (Indonesia,90
None,environmental degradation|resource depletion|loss of biodiversity,None,91
"answer in one line - ""a project","answer less than 5 words - ""time-cost trade-off problem","answer in one line - ""project manager(s",93
Design project management (DPM,Difficulty in sharing implicit knowledge among project members and bringing significant results due to lack of proper knowledge management,Organization|project members|and possibly external parties such as clients or investors,94
160 product innovation projects,reduced product-related uncertainties at the fuzzy front end (diminished by responsive customer orientation,customers (proactive and responsive,96
establishment of receiving stations across Taiwan for safe and environmentally friendly disposal of unused medications|implementation of a return system|monthly checks|and compensation for pharmacists' costs,improper disposal of medications|waste of medications|pollution caused by improper disposal,members of the public|hospitals|pharmacists|physicians|,97
breeding healthy animals in the course of a disease epidemic,culling healthy animals in the course of a disease epidemic,citizens and pig farmers,98
The paper,However|there is a concern whether the applied layer system allows maintaining a safe level of moisture content below critical moisture content (CMC|which has been set at 20,Indoor air relative humidity was considered,99
None,Human errors|communication misunderstandings|flight conformance issues|potential conflicts,Air traffic controllers|pilots|safety regulators|passengers,100
The study aimed to investigate the uptake|subcellular distribution|and metabolism of 14C-caffeine in Chinese flowering cabbage and water spinach after irrigation with treated wastewater,Irrigation with treated wastewater could lead to the accumulation of caffeine in agricultural fresh|which could pose a risk to human health if consumed,None,104
None,Climate change|nutrient discharges|socioeconomic factors,None,105
None,none detected,None,106
None,lack of effective integration of informatization and complexity (2 words,various stakeholders (1 word,107
Study conducted to assess the number of ESBL-producing,High concentration of ESBL-producing Enterobacteriaceae (> 2.5 logs) and VRE (> 3.0 x 10^5 CFU/ml) in hospital sewage|posing a risk of microbiological pollution of water resources,None,108
None,None,None,109
preparing a MI-MC-photocatalyst compound system (MCS) for multi-PAHs degradation,None,microorganisms (MC|silver nanoparticles (Ag3PO4@Fe3O4|and soil microbes (not specified,110
studying 112 pilots of passenger planes (1 word,excessive or unnecessary risk|seeking situations to achieve the right level of stimulation (3 words,individuals characterized by a high need for stimulation (1 word,111
Development projects|reduction of regional disparities within EU countries,Lack of proper planning and implementation of development projects|leading to unsatisfactory results and wasted resources,Experts in EU funding|project consultants in Croatia|EU policy makers,112
Green Factory Bavaria,None,scientific community|industries|companies|joint activities|etc,113
up to 1.244 mm/day (increase towards the end of the twenty-first century,None,None,114
EVA-Lanxmeer|an ecological residential area in the center of the Netherlands,None,None,115
None,None,None,116
Verify the hypothesis that recreational activities and easy access to alpine lakes contribute to changes in their ecological status,Eutrophication poses the main threat to the quality of water in alpine lakes,Scuba divers who provided highly accurate measurements underwater,118
CCS projects,lowest cost,policy makers and commercial organizations,119
Integrated regional impacts of climate change modeled at local level|using US Northeast as a case study,Climate change|impact on the alpine ski sector,Ski resort management|communities|individuals reliant on the sector,122
None,Uncertainty|highest level of uncertainty|determines the path to objectives achievement,None,123
investigation of upgrade drivers,establishing the need to upgrade|alignment of benefits with upgrade|and making business sense,organizations would only opt to upgrade when benefits are aligned with the upgrade and when the decision makes business sense,125
None,hazardous situations|unsafe driving behaviors|potential accidents,None,126
Real-time monitoring of physical fatigue in construction workers using wearable sensors,Increased risk of accidents in construction|poor quality of work|and reduced productivity due to fatigue,Construction workers|researchers|safety professionals|and anyone interested in reducing fatigue and improving worker well-being in the construction industry,127
Application of JRODOS in off-site emergency management|simulation using the French S3 source term for the Guangdong Nuclear Power Station at Daya Bay,Accident consequence assessment|emergency preparedness studies|potential consequences of accidents,Hong Kong Observatory|nearby nuclear power station|people living in Hong Kong and surrounding areas,128
Optimal rail defect inspection frequency determination,Broken rails|seasonal variation in train derailments,Railroad industry|railway infrastructure managers,129
Building projects (twice|urban data (once,None,Municipalities (once,130
None,crash risks caused by different intensities of disturbances,None,131
transport infrastructure projects,None,None,132
application of machine learning theory to demographic field|projection of China's population structure under different fertility policies,aging problems|population growth,women|Chinese government,134
None,none,Australia,135
Investigating the use of growing feathers from free-flying condors in California to establish a bird's lead exposure history,Lead poisoning,Birds (specifically|California Condors|humans involved in blood lead monitoring efforts,136
A longitudinal project was instituted in France to monitor exposures in poultry workers and evaluate the long-term effects on health,Chronic bronchitis symptoms (associated with long-term exposure to respirable dust,Workers in poultry farms (who are at risk of chronic respiratory symptoms due to their exposure to respirable,138
Developing a Data Quality Assessment & Improvement Framework (DQAIF) to measure and improve the performance of multiple evaluators of pavement distresses,Data collection issues|subjectivity in evaluation|inconsistent data quality,Engineers|asset managers|evaluators|and anyone involved in the data collection and evaluation process,139
None,None,None,140
power plant constructions,standardised anchor plates|headed studs|design tasks,suitable types of anchor plates,141
recent progress and tools for chemical and biological characterization of environmental mixtures|introduction of novel methods or new approach methodologies (NAMs) for generating chemical and toxicity data for mixtures|application of combined computational methods to,chemical complexity and toxicity data gaps|exposure to a cocktail of chemicals in real life|knowledge gaps in mixture health assessment,None,142
Quantifying how changes in land use affect the dynamic evolution of flood vulnerability (using GIS to gather historical geometric data|propose Simpsons-dominance index and location index|build a quantitative model to measure flood vulnerability,Flood disasters|land-use change|flood vulnerability,Government decision-makers (proposed comprehensive flood disaster management,145
exploring the organizational options for preventing work-related problems in knowledge work|analyzing the characteristics of knowledge work|stress management interventions|and aligning the organizational design to reduce absenteeism and turnover and increase productivity,work-related stress|organizational factors causing frustration and work-related problems,respondents representing different stakeholders in,147
forecasting,fluctuations|impacting|hard to be accurately predicted,enterprise's strategic decisions and risk-avoiding,148
None,Erection costs|original design compatibility,None,149
None,None,None,153
investigating the ability of ant colony optimization algorithms to solve a simulated dynamic multi-objective railway rescheduling problem,delay|perturbation|dynamic|multi-objective problem,railway stakeholders (users|algorithm developers,155
None,None,None,156
Optimal operation and improved reliability for distribution systems (DS,Various risk-taking conditions|such as the customers' sensitivity to the price and their participation in the proposed tariff,Customers who consume energy and participate in the proposed tariff,157
monitoring ambient vibration of a real bridge structure,None,None,158
Pipejacking technologies,Damages to the jacked pipe string and adjoining properties due to inadequate lubrication during pipejacking,Mega cities worldwide|pipejacking contractors|property owners|environmental regulatory agencies,160
assess,radiation exposure,None,161
Development of inland navigation in harmony with other river functions|analysis of river functions or services|proposal of an integrated method for waterway health assessment|construction of a hierarchical assessment indicator system|and assessment of waterway health changes in the Jingjiang Reach,Low costs|environmental friendliness|low use of energy per ton kilometer|and high degree of safety,None,162
Developing a research model to examine the impact of individual (knowledge self-efficacy|openness in communication|reciprocal benefits|organizational (top management support|organizational rewards|and sharing culture|and technological (KM system infrastructure and KM system quality) factors on the KM evolution,Knowledge management (KM) evolution|organizational support|and information technology contexts,None,163
a quintessentially Asian form of investment known as project finance,shaping the credit risk,None,164
"answer - ""problem in the project management","answer less than 5 words - ""time-cost tradeoff problem","answer in one line - ""we consider the activity modes selection problem in the project management",165
Investigating the cadmium accumulation and tolerance in Chinese cabbage Brassica pekinensis (cv. Xiaoza-56) and the known Cd-accumulator Brassica juncea in hydroponics and pot experiment,Heavy metal pollution in farmland threatens human life,The above results indicate that B. juncea and B,166
supporting climate change policy implementation through alternative international cooperation mechanisms|promoting sustainable development and climate finance|providing technology development and transition programs|setting technology standards|etc,policy implementation|climate change|economic and social development,governments|private sector|international community|civil society organizations|local communities|etc,167
Evaluate the influence of O-3 stress with different biochar treatments on a wheat cultivar (HD 2967,Oxidative stress caused by elevated O-3 levels reducing most of the growth parameters|negatively affecting the test cultivar's physiology,The study inferred that altered nutrient phyto-availability,169
Improving water treatment technologies in developing countries,Illnesses caused by waterborne viruses|including gastroenteritis|meningitis|encephalitis|and respiratory infections,Microbiologists|environmental scientists|public health officials|and water treatment plant operators,170
selection of project portfolios|Pareto optimal portfolios|post-optimal analysis|stability characteristics|robustness evaluation,uncertainty|inaccurate parameters|small adjustments leading to mismatched requirements,investors|global risk assessments for projects participating in the Belt and Road Initiative,171
None,None,None,172
Conservation of the Ortolan Bunter in Italy,Habitat loss and degradation|land-use changes|decline in suitable habitat,The study mentions several groups involved in the conservation effort|including farmers|landowners|and local communities,173
creating and testing a model of influencing conditions with navigation accidents as a dependent variable,groundings|collisions|fire & explosion|capsizing|contact injury|loss of vessel|environmental spills,Some vessel types|less vessel length|poor visibility condition|and a flag of convenience (implying that these variables may be used as,175
six projects were awarded for their innovative housing designs and constructions in Spain,none detected,architects|system manufacturers|contractors|and possibly government agencies involved in regulating and promoting sustainable and efficient housing practices,176
Construction industry|construction workers|safety training|knowledge acquisition|knowledge application,Safety performance|safety training|safety learning process,Workers|organization (e.g|construction companies|safety trainers|regulators (e.g|government agencies,177
The study of the environmental impact assessment of air pollution in the Western Taiwan Straits Economic Zone has reference value to prevent ecological risks,Pollutants discharged from irrational energy consumption pose a serious threat to urban ecological security,The results showed that the regional environmental impact level of the research area was high|and the main pollut,178
reducing BC emission,None,None,180
university project on energy-saving behavior (Study 1) and project on the acceptance of an innovative|sustainable technology (Study 2,none detected,university members (Study 1) and consumers (Study 2,183
Building Commissioning,none detected,Owners|architects|engineers|contractors|facility managers|and others involved in the project delivery process,185
HIPOCAS (Hindcast of Dynamic Processes of the Ocean and Coastal Area of Europe,None,None,186
construction of the Boulac Spine Branch Sewer|use of Earth Pressure Balance Machines (EPBMs,tunnel instability|poor soil conditions|unexpected groundwater levels,residents of the Boulac District of Cairo|project engineers|contractors,188
Design of portal frames for building structures,Incomplete design|optimization needed (steel savings,Practitioners and researchers involved in the field of civil engineering and structure design,189
analysis of coupled model simulations for the last glacial maximum from the Paleoclimate Modelling Intercomparison Project,none detected,None,191
studies have described the consequences of the changing patterns in the business environment for R&D departments,a substantial body of literature suggests that the priority listing may be different for R&D departments in businesses with different strategies,72 R&D managers of businesses competing in industrial markets in the Netherlands provided the data to test for the existence,192
tunnel excavation process,fault belt|soft interlayer|abnormal water-bearing body,production safety,193
Examining the potential impacts of climate change on wealth concentration and income distribution between capital and labor,Climate change affecting production|increasing depreciation rate of capital|reducing net income|and damaging the stock of capital,People affected by climate change|including those who rely on agriculture|fisheries|and forestry for their livelihoods,194
Geothermal project in Ivanic exploitation field. (Promising geothermal project,Increase of injected and produced quantities may cause|after time|faster temperature decrease of produced water. This could lead to energy deficiency for the aimed project. (Temporarily invariant,Focused attention on the influence of different pore space geometry sorts,195
coal fire control project,ground collapse|threat to project safety,sandstone|coal measures strata,196
Upgrading structures for change in use or increasing traffic load,Bond integrity|inspectors applying simple hammer knocking during regular main inspection for subjective noise distinction,German Centre of Competence in Civil Engineering (DIBt) and Federal Institute for Materials Research and Testing (BAM,199
27 critical factors influencing the interface management of PBPs were identified through a literature review|questionnaire survey|and face-to-face interviews with professionals in the construction industry. These factors were further categorized into seven groups via expl,accuracy of design|timeliness of information communication|timeliness of component production and supply|standardization of design|and definition of work content and scope,None,200
None,Experiment|load|highways|rehabilitation|treatments|overlay|cracks|breaks|restoration|minimum|maximum|concrete pavement|repair|maintenance|durability|lifespan|performance|safety|infrastructure|investment|costs|benefits|value|efficiency|effectiveness|sustainability|environmental impact|social impact|economic impact|political implications|regulatory compliance,None,202
Smart City concept|urban transformation|energy efficiency|human living and environment|economy and governance,environmental degradation|resource consumption|waste generation,cities|communities|policymakers|researchers,203
Urban renewal project|Fikirtepe Urban Renewal Project,Land contribution|infrastructure participation fee,Property owners,204
None,none detected,The US Department of Energy (DOE,205
Investigation of the effects of different cooking methods on indoor air quality|including measurement of temperature|humidity|and gases such as CO|CO2|and TVOC,Exhaust fumes|high temperatures|and chemical vapors released during cooking could pose health risks to the chef and people nearby,Cooks|chefs|kitchen staff|and,206
Integration of crises and crisis management frameworks|drawing from multiple disciplines such as strategy|organizational theory|organizational behavior|public relations|and corporate communication. Identifying two primary perspectives in the literature,Crises|crisis management|research|findings|antecedents|outcomes|and problem recognition,None,207
analysis of the effect of training programs on the yield of smallholder farmers in Tanzania,none detected,government|policymakers|agricultural stakeholders (including farmers,210
Retrofit materials and techniques from renewable resources|development of a cross-disciplinary exchange|promotion of sustainable retrofitting practices,building waste|high energy demand,planners|builders|craftsmen|building owners|experts (e.g|architects|engineers|contractors,212
Fast pouring method,Temperature cracking and stress safety of the dam,Concrete gravity dam (case study,213
design of future SCCs,the proliferation of new display and control technologies demands careful examination by the procurement authorities. Some new devices are seriously inappropriate for a marine environment where standard and emergency operating procedures are concerned,RN (Royal Navy,214
Climate change impact assessments on river runoff using ensemble of global and catchment-scale hydrological models,Uncertainty in projected runoff changes for some catchments due to global warming,Scientists studying the effects of global climate change on river runoff,215
Analyzing the trend variation of annual and seasonal streamflow|as well as the trend of seasonal distribution proportions of streamflow in the Chaohe River from 1963 to 2011,Climate change and human activities affecting the streamflow in the Chaohe River|resulting in a decline in streamflow over time,,216
Road Construction Sector Tender Procedures Evaluation Tool,High,None,217
large-scale injection project|closed reservoirs|EOR life cycle|goal of 1 million metric tons|successful injection and monitoring|various stages of production,injection project|evaluation|monitoring|storage|technology|testing|contained,MRCSP|The Authors|various monitoring technologies|modeling approaches|containing,219
Drought Mitigation,Severe droughts in the Upper Reaches of the Yangtze River basin (URYR) in the mid-west part of China,Local water resources management|agriculture decision making,221
Assessing the impact of combined effects of climate change and urbanization on flood regimes through observation|simulation|and analysis,Climate change|rapid urbanization|and increased rainfall duration and intensity,Local communities|policymakers|environmental scientists|and urban planners,222
Developing useful metrics|generating a brief online questionnaire|creating a weblog|and maintaining dialogue around the rationale for doing the research,Little appeared to have been done about measuring the quality or usage of the methods of delivery,Practitioners in the field|including individuals from local authorities,223
Exploring the possibility of a two-way relationship between corporate social responsibility (CSR) and earnings management (accruals and real EM) with the moderating role of female and independent directors,Accruals and real EM (embezzlement and fraud,Female and independent directors,224
Dam-breach flood risk management in Portugal (1995-2002,Technological accidents|natural hazards|dam-related aspects|and downstream valley risks,Human occupation patterns and public risk perception,225
Green building|water conservation technology|water-saving instruments|recycled usage of domestic greywater and rainwater|landscape water protection,Environmental impact due to water consumption and wastewater discharge,Investors|property developers|homeowners|government agencies|NGOs (non-governmental organizations) focused on environmental sustainability,226
None,None,None,227
None,none detected,None,228
evaluating associations between personal PM2.5 and its elemental constituents and kidney function|assessed by an estimated glomerular filtration rate (eGFR) in Biomarkers of Air Pollutants Exposure in the Chinese aged 60-69 study,exposure to fine particulate matter (PM2.5) is associated with kidney dysfunction,None,229
Construction projects|management|performance|productivity|wastage|time overrun|compromised quality|cost overrun,Poor project performance|ineffective materials management|non-availability of materials|delays|cost overruns|quality issues,Practitioners (contractors|organization (government agencies|private companies,230
None,Verification and validation tasks for the Korea nuclear instrumentation and control system (KNICS,None,231
initiative or effort aimed at addressing or improving something related to the statement|such as,potential consequences or dangers associated with the statement|such as environmental damage or public health risks. Examples,None,232
Experimental study to evaluate fire behaviors,Fire risk,None,233
monitoring the changes in frog populations in response to drought and wet periods over a 13-year period,long-term drying and warming trends predicted to affect many areas globally|leading to declines in frog populations in lowland regions,water-dependent fauna like frogs|indicating potential impacts on their populations due to prolonged droughts,234
Development of ports for efficient transportation of goods|possibly experiencing further progress in the upcoming years,Air pollution|noise pollution|water pollution|soil pollution|and garbage pollution,Port managers|environmentalists|government agencies|and communities near the ports,235
Integration of crash frequency and real-time safety analyses|Bayesian integrated model|non-integrated model|linking components|model results|variable inclusion,Crash|crash frequency|crash occurrence|real-time safety|safety analyses|expected crash frequency|speed,None,236
projectification|use of temporary organizations (TOs|work by employees in TOs|etc,none detected,organizations|personnel|etc,237
sluices (two) for connecting the water system of an inner lake in a planned residential district to the Tuanbo reservoir|and building under the city road,None,residents of the inner lake area|city road users|water management authorities|construction professionals (e.g|engineers|architects,238
Climate change mitigation and adaptation projects in various populations,Water scarcity and degradation|climate change impacts on agriculture and food systems|lack of consideration of water use in commodity chain selection criteria|etc,Local communities|farmers|entrepreneurs|government agencies|NGOs|research institutions|etc,239
None,none detected,None,240
Hotspot identification|detection|clustering,Accident|frequent|location,Vehicle|driver|traffic safety,241
Combined cooling|heating and power (CCHP) system,Inaccurate results due to lack of operational data to validate models,Data center owners and operators,242
Assessing the risk of cracking of high performance concrete induced by restrained volume changes from early ages,Cracking of concrete induced by restrained strain,Concrete|High Performance Concrete|Temperature|Stress Induced By Restraint|Volume Changes|Predictive Capability|Thermal Control Criteria|Practical Models|Visco,243
None,Landslides|breaches|and flooding pose a severe threat to downstream cities and infrastructure. Peak discharge of the second landslide (3.1 x 10^4 m^3/s) was significantly larger than the first (1.0 x 10^4 m^3/s). The total volume of the first and second landslide dams is approximately 33 x,None,244
Reducing carbon emissions through improved bridge design and construction methods,Carbon emissions|climate change,Engineers|policymakers|and environmental advocates,245
Optimization procedure for seismic retrofitting of existing RC buildings with dissipative bracing systems,Existing RC buildings with dissipative bracing systems|potential damage or collapse due to earthquakes,Building owners|engineers|construction professionals|communities at risk of earthquake damage,246
Vernacular building practices|traditional building designs|sustainable housing features,Climate zone|semi-arid|arid,Local communities|architects|designers|builders|environmentalists,248
None,Contractual governance and performance measurement focused on operand resources|which could lead to an effective negation of a customer-oriented public service system,None,249
development of sustainable agriculture practices|implementation of new technologies|improvement of supply chain management,environmental damage|water pollution|soil erosion|loss of biodiversity,farmers|consumers|NGOs|government agencies|international organizations,250
regeneration programme,pricing former residents out of their neighborhood (gentrification,former residents|vulnerable populations,254
distribution of computers to disabled people,deviation from a strict interpretation of the questions on the form,assessors in the project (disabled people|organization,255
Quantifying model uncertainty|integrating uncertainty considerations into energy conservation equations|comparing traditional and novel approaches,Uncertainties|boundaries|materials|etc,Crown Copyright (c|Elsevier B.V|etc,257
"answer in one line - ""project management","answer less than 5 words - ""failing to align","answer in one line - ""users",259
The Menard Vacuum Consolidation (a method consisting in creating a vacuum underneath an airtight membrane laid on the soil to be consolidated,Shearing failure,,260
Dynamic knowledge transfer in supply chain integration during a project undertaken by the Beijing consulting arm of a multinational computer company,none detected,Organisation culture|team members|management,261
None,None,None,263
